FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBgn0031081	35.6216	34.7169	32.937	33.8976	35.7427	38.0419
FBgn0052826	0	0	0	0	0	0
FBgn0031085	0	0	0	0	0	0
FBgn0062565	0	0	0	0	0	0
FBgn0031088	0.10883	0.118377	0.132932	0.132034	0.267717	0.186631
FBgn0041626	0	0	0	0	0	0
FBgn0040784	0	0	0.342168	0	0	0
FBgn0031086	0	0	0	0	0	0
FBgn0031082	0	0	0	0	0	0
FBgn0031080	3.2589	2.01546	0.884577	1.06484	1.33611	1.46771
FBgn0052821	0	0	0	0	0	0
FBgn0053217	17.3654	19.2755	21.6138	18.0278	24.7834	21.5207
FBgn0052350	24.9379	25.3225	29.8945	23.4358	37.3506	24.8851
FBgn0024733	1772.5	1751.35	1622.86	1550.74	1867.11	2701.26
FBgn0040372	9.87232	8.27013	9.02476	8.05969	8.96504	8.51966
FBgn0000316	27.33	24.0172	20.3876	21.0737	22.7316	20.7077
FBgn0024989	2.22916	3.40879	1.66876	1.78566	1.04303	2.21748
FBgn0040371	0.985338	1.12033	0.690068	0.454466	0.926555	1.19244
FBgn0029521	2.20622	2.15902	2.93945	1.671	1.11002	0.937961
FBgn0004034	0.511933	1.0653	0.764974	0.660148	1.15962	0.982675
FBgn0000022	0	0	0	0	0	0
FBgn0004170	0	0.0703139	0	0.039262	0	0.0374493
FBgn0002561	0	0	0	0	0	0
FBgn0000137	0	0	0	0	0	0
FBgn0029522	0.728925	0.925352	1.03767	1.5461	1.23042	1.66599
FBgn0052817	1.93681	0.262856	0.2739	0.586298	0.919529	1.11876
FBgn0029524	1.67703	1.53138	1.06418	1.17966	1.57168	1.19526
FBgn0023536	6.53154	6.65298	4.54576	5.54279	5.36515	5.3539
FBgn0023534	18.0008	16.7699	18.3196	12.7871	16.7076	14.6715
FBgn0023535	1.80459	1.71117	2.04493	2.18791	2.27799	3.1983
FBgn0023537	59.0644	50.4058	48.9221	47.0469	60.1841	71.1042
FBgn0029525	5.07847	5.48186	3.94081	4.29877	5.08524	4.48207
FBgn0029523	5.42245	4.45606	3.78473	3.47452	4.79274	4.34749
FBgn0010019	0.881188	0.0627838	0.588995	0.653611	0.08789	0
FBgn0011822	0	0	0	0	0	0
FBgn0052816	3.81721	3.4479	3.14241	3.26534	3.86247	3.36019
FBgn0040370	32.1074	32.0422	31.5979	28.522	32.6556	30.6698
FBgn0040373	5.38795	4.28759	4.42485	4.41574	4.49505	4.70483
FBgn0000108	202.247	193.107	180.912	157.992	165.633	146.665
FBgn0025640	5.94417	5.22402	4.56111	6.72315	6.18632	7.03326
FBgn0025635	3.02449	3.05025	2.97559	2.84323	3.7505	3.68706
FBgn0001341	2.78774	2.0625	1.45933	1.65911	2.11677	2.07544
FBgn0003575	4.6286	4.29146	4.35364	3.8672	4.63092	5.12075
FBgn0025634	5.06205	3.86849	3.46117	3.23611	6.13589	3.70562
FBgn0025638	39.7242	35.9932	30.5262	37.837	28.5741	42.2121
FBgn0040383	8.79717	8.69774	9.58274	8.43585	7.40944	7.15547
FBgn0040382	213.297	238.833	176.079	209.135	192.957	338.874
FBgn0027343	1.39605	1.57225	1.16279	1.11315	1.66251	0.971731
FBgn0025621	10.6888	11.2734	10.5187	10.3961	9.26091	13.6328
FBgn0029535	0	0	0	0	0	0
FBgn0026874	0.121085	0	0.0739501	0.0395643	0.0992868	0.226522
FBgn0025616	0	0.0543261	0	0	0	0
FBgn0015799	5.95005	6.24703	5.84865	5.39257	6.3746	5.71453
FBgn0025620	33.3889	32.3525	26.3516	34.9434	26.9584	24.1995
FBgn0015288	1155.34	1003.7	1447.14	834.219	1708.77	749.939
FBgn0029532	0.10887	0.0318832	0	0	0.0892509	0
FBgn0029531	0	0	0	0	0	0.0935684
FBgn0025639	10.4639	9.03379	9.07229	9.086	9.53569	9.15417
FBgn0002579	1803.7	1579.87	1657.96	1248.97	1622.74	1632.75
FBgn0026879	193.554	171.974	104.488	124.315	107.26	181.545
FBgn0029529	7.80531	8.90298	7.15037	6.18599	7.96614	8.69901
FBgn0025633	14.4501	9.56268	9.97414	9.51404	14.9497	12.5707
FBgn0040892	0	0	0	0	0	0
FBgn0040341	0	0	0	0	0	0
FBgn0029539	0	0	0	0	0	0
FBgn0040339	12.8346	14.9672	13.9057	11.7342	16.6967	14.1985
FBgn0052815	7.16655	7.75914	6.63283	6.64465	6.11112	6.73794
FBgn0040340	26.0891	25.5886	23.1392	24.902	22.9117	21.6574
FBgn0040347	0.658421	0.645419	0.90476	0.968118	1.2459	0.900126
FBgn0042146	0	0.0933282	0.0972833	0	0	0
FBgn0029552	0	0	0	0	0	0
FBgn0040337	4.12709	4.27343	4.08031	3.84545	4.92533	4.47192
FBgn0040398	136.382	149.379	150.756	175.287	211.276	259.226
FBgn0040365	0.171838	0	0	0	0	0
FBgn0040397	22.8196	19.8338	14.6315	17.2542	11.5788	22.3598
FBgn0026143	6.02253	5.5305	3.80578	4.89162	4.41424	6.00125
FBgn0040351	40.5687	42.8629	40.9354	40.7361	40.8291	39.6703
FBgn0040338	0	0.333288	0	0	0	0.177364
FBgn0040350	0	0	0	0.02591	0	0
FBgn0040349	4.57621	10.5657	22.169	37.8631	28.0474	23.8693
FBgn0040348	8.77536	7.44692	8.01928	7.86225	7.63756	9.88226
FBgn0040346	9.67826	9.03525	5.10581	8.67492	7.54993	11.8709
FBgn0040342	0.036818	0	0	0	0	0
FBgn0040345	0	0	0	0	0	0
FBgn0040343	4.02945	3.98375	2.94141	3.82644	1.93588	2.66534
FBgn0052814	0.450132	0.817035	0.56499	0.369658	0.507913	0.289104
FBgn0040364	4.43857	2.07667	2.60243	1.88259	3.02095	3.31386
FBgn0040362	0	0	0	0	0	0
FBgn0040361	0.080523	0	0	0	0	0.135835
FBgn0040360	0.653248	0.215289	0.149609	0.120064	0.200867	0.190949
FBgn0040359	0.0570953	0.0694925	0.0181057	0.0932789	0.0936334	0.110947
FBgn0040358	0.14566	0.0914375	0.0571875	0.0815895	0	0.214103
FBgn0029568	0	0	0	0	0.0434112	0
FBgn0040357	0	0	0	0	0	0
FBgn0040367	0	0	0	0	0	0
FBgn0025642	0.190569	0.446617	0.174579	0.435588	0.156521	0.118837
FBgn0004650	0.0232674	0.0613456	0.0568402	0.0380129	0.114472	0.021764
FBgn0024362	12.3592	12.7059	12.7585	11.9794	13.0175	12.0998
FBgn0024361	0.0697951	0.245372	0.191816	0.136835	0.227955	0.115605
FBgn0024364	2.97904	3.83092	2.4682	3.45698	2.61337	4.69205
FBgn0029573	0.101199	0.177876	0	0	0	0.189319
FBgn0024987	73.4098	73.077	56.9027	66.0091	53.5949	68.9077
FBgn0023169	60.451	68.2304	61.9797	63.7143	58.5619	67.1035
FBgn0052813	7.25673	6.3471	5.89666	5.94316	6.57078	5.87144
FBgn0024985	56.4013	62.9588	53.8033	54.2287	47.1966	56.697
FBgn0027794	2.42668	2.07799	1.99505	2.05852	2.64033	3.01195
FBgn0027795	0.654539	0.977908	0.989369	1.05865	0.603793	1.0102
FBgn0024986	42.8086	38.5887	28.9267	36.3421	36.5189	41.7323
FBgn0000826	0	0.0952661	0.0993033	0.0531286	0.0666632	0
FBgn0024365	5.23552	5.56865	4.94378	4.85574	5.15158	4.69631
FBgn0024360	2.69749	1.96338	1.77629	2.03563	1.86504	1.63899
FBgn0024366	0.209276	0.103633	0.0972209	0.102571	0.0870181	0.220606
FBgn0025641	23.6205	29.4406	26.4218	29.4015	23.0129	26.3779
FBgn0052811	0.24389	0	0.223371	0.238922	0	0
FBgn0028550	16.2104	20.4864	17.6072	17.8484	16.8562	16.9034
FBgn0026876	0.809681	0.469	0.252866	0.487033	0.271603	0.550809
FBgn0040366	7.19301	5.81393	5.03778	5.61598	5.435	5.35918
FBgn0040363	0	0.0444207	0	0	0	0
FBgn0040368	0	0.0302632	0	0	0	0.03221
FBgn0026872	14.8942	11.151	10.4671	10.4098	12.3352	13.0496
FBgn0029580	2.51017	2.59997	1.56039	2.47775	1.21293	3.27035
FBgn0025383	0.168505	0.0987265	0	0	0	0.105078
FBgn0025381	17.8192	21.9068	21.4896	18.0785	19.1169	17.8012
FBgn0025394	21.2741	22.3956	17.3633	20.1384	17.3712	21.5573
FBgn0000482	3.61088	3.34975	3.03225	3.0971	3.70104	3.53393
FBgn0001189	13.8405	13.2882	10.5074	12.3304	11.8281	17.9917
FBgn0029587	0.0167737	0.0685236	0.142888	0.0381975	0	0.0313829
FBgn0024897	0.970252	0.830267	0.631544	0.275313	0.659495	0.50155
FBgn0025391	13.2967	16.4937	14.4882	15.776	10.1889	13.5601
FBgn0025378	0	0	0	0	0	0
FBgn0023130	3.71922	2.68919	2.54971	3.04213	2.92026	2.8338
FBgn0023530	12.4664	11.5601	8.20229	11.9306	7.89731	11.059
FBgn0025390	5.90507	6.18933	5.96376	4.97672	4.35832	5.63745
FBgn0025393	0.193321	0.5097	0.354212	0	0.238423	0.361972
FBgn0003517	336.236	298.079	326.283	273.103	326.737	337.461
FBgn0044508	17.4036	0	0	0	0	0
FBgn0025382	0.9818	0.996321	0.609852	0.747377	0.81886	1.09893
FBgn0052808	0.459268	0.807225	0.420716	0.337633	0.635488	0.69806
FBgn0027791	1.58844	0.91043	1.42352	1.48935	1.40158	1.4858
FBgn0027793	0.147937	0.130014	0	0	0	0
FBgn0052806	0.0822367	0	0	0	0	0
FBgn0026873	5.63559	4.68151	3.25312	4.31347	4.46278	5.43949
FBgn0023513	1.18401	1.08107	1.16912	1.34148	1.22934	1.28012
FBgn0014411	21.7834	24.2506	16.5683	21.9122	15.4363	21.2058
FBgn0023514	15.4409	14.9879	11.461	12.9413	10.7714	13.2729
FBgn0029594	22.8729	17.9617	17.7641	13.1286	17.5402	22.2077
FBgn0023519	10.0099	8.30125	8.28971	9.97848	9.04333	7.67037
FBgn0023509	2.49083	2.08228	2.21226	1.68233	2.01751	2.14519
FBgn0023510	14.2396	12.588	11.5847	12.406	12.0508	15.3348
FBgn0023508	8.60056	9.73284	8.82085	8.57304	7.21068	8.08351
FBgn0023522	7.76417	6.51258	6.21872	5.05585	5.76499	5.5367
FBgn0023521	3.22961	2.98265	2.65774	1.93167	2.42377	2.35529
FBgn0025627	0.110456	0.194193	0.657718	0.216602	0.271712	0.206637
FBgn0025630	2.4728	2.6927	2.55666	1.86011	2.24986	2.41459
FBgn0025629	7.40215	8.7341	6.02759	5.97947	6.74397	6.41097
FBgn0025628	17.854	19.693	21.7582	16.2844	17.5048	14.561
FBgn0029596	0.206473	0	0	0.0674646	0	0
FBgn0025626	9.22149	8.66928	6.46002	6.83363	6.79536	6.7652
FBgn0025625	6.60222	7.28103	9.41036	8.65155	8.81028	7.56534
FBgn0025631	25.0965	26.7943	30.2388	30.3305	27.4661	32.5965
FBgn0026878	2.55956	2.31195	4.4942	3.06669	3.49796	3.52475
FBgn0000667	41.4741	43.2596	33.6994	41.3282	36.8093	44.6134
FBgn0003964	6.41513	6.12662	5.0933	5.70152	7.52211	6.72074
FBgn0023545	14.6674	13.498	11.9889	13.1189	13.3025	12.9805
FBgn0023520	1.15614	1.09736	0.889668	0.72531	0.824764	0.908404
FBgn0023512	16.2592	18.2393	14.4711	14.0807	13.6844	12.2617
FBgn0023511	30.5545	33.5774	32.6313	38.3853	29.6313	38.2362
FBgn0052801	0.874051	3.19084	1.7862	0.52725	0.41348	0.503121
FBgn0023518	4.53021	4.53779	4.05999	4.42263	3.84066	4.55946
FBgn0026088	36.3274	30.2712	32.6626	20.919	29.826	32.5655
FBgn0026089	24.6741	21.3627	17.0008	15.1423	19.3611	17.2411
FBgn0023517	8.64993	7.44977	7.88124	8.53046	7.44715	9.06715
FBgn0023516	12.3594	10.387	9.64982	10.3255	10.4949	12.362
FBgn0023515	0.108779	0.368763	0.19173	0.458284	0.533241	0.153863
FBgn0028969	25.4104	25.8045	22.3332	22.9139	18.3524	26.1526
FBgn0026090	12.2212	14.9476	12.8681	9.97348	13.4606	13.036
FBgn0029590	0	0	0.209874	0.149714	0.281781	0.0714313
FBgn0025624	31.8144	39.6798	39.2235	32.0729	35.4401	29.9369
FBgn0040395	65.3347	67.3253	66.8118	58.9438	78.8185	79.5562
FBgn0000382	55.4454	53.9129	49.1872	49.2634	52.8955	52.245
FBgn0023507	32.7493	27.65	29.648	35.5055	32.7992	44.3366
FBgn0004654	10.6559	13.8689	18.1942	12.957	9.82799	12.9317
FBgn0023540	20.8855	19.9301	16.8467	13.6435	20.691	17.7557
FBgn0025839	38.0896	26.3687	30.524	27.0854	37.9491	36.066
FBgn0011576	12.4994	14.4795	13.672	13.7275	12.2421	13.9032
FBgn0015036	1.70947	1.1536	0.950804	1.01739	0.863561	0.970828
FBgn0003116	14.084	14.4961	12.6183	18.6326	13.2991	20.1957
FBgn0040899	6.64471	6.85528	6.88114	5.66385	4.97471	6.48558
FBgn0040900	2.61183	2.36068	1.13571	1.21528	1.01655	1.78718
FBgn0024984	0	0	0	0	0	0
FBgn0023549	4.12695	4.74782	4.39823	4.79752	5.19211	5.87595
FBgn0029606	0	0	0	0.070097	0	0
FBgn0003048	3.56589	3.44434	3.52177	3.88246	3.80316	3.80586
FBgn0000810	15.5511	16.2754	12.4973	14.138	12.1253	13.1663
FBgn0023523	0.32494	0.285573	0.1701	0.182012	0.0570948	0.0868411
FBgn0023527	6.24291	5.5877	3.97963	5.16076	4.49389	7.26576
FBgn0040391	0.068632	0.0904751	0	0.0336377	0.126622	0.0320987
FBgn0053218	0.312214	0.137192	0.143019	0	0.191995	0.146017
FBgn0003079	7.97625	8.98009	6.99452	7.34082	6.15399	6.91384
FBgn0003159	18.927	21.0669	15.5674	17.616	14.4743	15.5197
FBgn0040389	3.17503	2.17241	2.30686	2.03908	2.82787	2.56029
FBgn0044047	55.1437	53.6769	49.1996	50.5522	63.6282	67.0139
FBgn0040392	0.961252	1.39575	1.49318	2.00742	1.49073	1.56372
FBgn0023526	24.6932	23.3142	21.9499	18.4742	20.9606	24.3418
FBgn0023529	17.8231	16.7159	15.7052	14.2329	13.5333	14.5249
FBgn0023528	31.3589	30.6703	29.0225	26.9375	29.7062	26.9306
FBgn0027296	29.9665	26.2267	26.3115	25.7447	27.4044	28.3229
FBgn0023524	8.03876	7.8041	7.36124	7.26654	7.82898	8.39
FBgn0023525	1.89837	2.00274	2.18608	1.91472	2.80154	2.33379
FBgn0000377	5.20138	6.04054	5.63709	5.30347	5.51213	8.10156
FBgn0001330	2.39121	1.78881	1.21164	1.68533	1.31027	1.99754
FBgn0004397	17.6454	22.8126	26.8251	23.2439	16.5212	15.5347
FBgn0023550	1.13678	3.08531	2.02152	0.589932	0.616849	0.781854
FBgn0029603	0.381343	0.478828	0.34928	0.217365	0.31418	0.442452
FBgn0023542	6.94008	7.19331	5.64499	6.13182	6.85179	7.2194
FBgn0023541	0.300044	0.0878597	0.183224	0.0979969	0.163982	0.280652
FBgn0005670	0.377211	0.783569	0.691119	0.907588	0.92791	1.31512
FBgn0004655	7.67571	7.03788	7.22673	6.96544	6.88349	7.30111
FBgn0013432	10.9466	9.85887	8.95065	9.84348	8.79044	9.81612
FBgn0004861	6.52109	6.34305	7.68412	5.62447	7.58004	6.86506
FBgn0004860	2.88755	2.33741	2.82378	2.05378	4.07122	2.57734
FBgn0040394	8.15685	9.72527	6.16605	8.27526	7.12105	10.4309
FBgn0040376	2.49786	1.77991	1.42246	2.05145	1.66054	2.58905
FBgn0040066	21.4463	19.2898	14.0956	15.1921	15.0438	13.3998
FBgn0001404	61.2735	62.5253	57.3114	58.35	64.3071	67.2631
FBgn0040336	4.77655	6.74487	5.03949	4.86631	6.33705	6.85246
