FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBgn0031081	35.1926	34.5807	35.1857	32.9936	38.9014	38.3641
FBgn0052826	0	0	0	0	0	0
FBgn0031085	0	0	0	0	0	0
FBgn0062565	0	0	0	0	0	0
FBgn0031088	0.095952	0.109527	0.148348	0.0162431	0.064446	0.104777
FBgn0041626	0	0	0	0	0	0
FBgn0040784	0	0	0	0	0	0
FBgn0031086	0	0	0	0	0	0
FBgn0031082	0	0	0	0	0	0.0616053
FBgn0031080	5.23574	2.79387	2.66534	2.9187	4.28857	2.51004
FBgn0052821	0	0	0	0	0	0
FBgn0053217	21.7061	17.1324	24.1503	24.0179	31.588	30.1079
FBgn0052350	26.3051	17.3911	22.9988	19.417	34.2806	26.0857
FBgn0024733	2433.46	2099.99	1772.18	2182.91	1924.64	2739.62
FBgn0040372	9.23243	9.22474	8.54395	7.91588	9.13091	8.33459
FBgn0000316	24.1992	24.2724	23.7252	22.0776	23.5773	23.4404
FBgn0024989	2.34178	3.11294	1.69703	0.759465	0.94077	2.4833
FBgn0040371	1.16494	1.2831	0.853044	0.674641	0.960948	1.0042
FBgn0029521	1.85666	1.61476	1.47616	1.03275	1.48462	1.27433
FBgn0004034	0.912045	0.840467	0.925295	0.627247	1.02097	0.840275
FBgn0000022	0	0	0	0	0	0
FBgn0004170	0	0	0	0	0.0474974	0
FBgn0002561	0	0	0	0	0	0
FBgn0000137	0	0	0	0	0	0.0256643
FBgn0029522	2.65636	1.15833	0.662408	0.979653	2.92412	1.54266
FBgn0052817	0.632763	0.300904	0.127286	0.267842	0.177117	0.857381
FBgn0029524	0.614518	1.14153	1.2187	1.35251	0.963076	1.6105
FBgn0023536	6.42203	7.33985	5.87044	5.2916	5.30292	6.50609
FBgn0023534	14.771	10.4693	12.4317	14.4821	15.3209	9.21561
FBgn0023535	1.90927	1.91174	1.1652	1.78634	2.3627	2.79813
FBgn0023537	61.6507	62.2072	52.8703	60.0053	52.4361	61.5445
FBgn0029525	5.34776	4.82236	5.78558	5.19044	5.09485	6.68176
FBgn0029523	4.59455	3.94522	3.89727	3.8683	4.42044	3.93235
FBgn0010019	0.0252547	0.0480019	0	0.042655	0.394911	0.0825516
FBgn0011822	0	0	0	0	0	0
FBgn0052816	2.70686	2.43056	2.27067	1.67004	3.04987	2.58071
FBgn0040370	24.8135	20.5898	23.0367	23.1651	31.0366	24.3075
FBgn0040373	4.98452	3.99081	4.20575	3.31857	4.30561	4.28478
FBgn0000108	207.559	176.9	176.177	156.766	183.052	136.146
FBgn0025640	8.65404	9.15228	6.93909	7.1437	5.23491	8.74566
FBgn0025635	4.79999	3.66731	3.68984	3.99654	4.63913	3.69474
FBgn0001341	3.03973	2.54793	2.55917	2.42029	3.47014	2.66202
FBgn0003575	5.61013	5.33745	4.55995	4.26189	5.15039	6.66786
FBgn0025634	6.83042	3.54396	4.53007	5.35492	7.64617	4.15312
FBgn0025638	55.3223	51.6716	42.4372	43.612	41.0845	52.9331
FBgn0040383	12.3484	11.0189	9.34548	7.92162	9.77383	6.90454
FBgn0040382	248.945	297.802	271.543	288.334	285.897	430.854
FBgn0027343	1.21911	1.02065	1.00787	1.16199	1.31252	1.34236
FBgn0025621	14.2876	19.3086	15.3175	15.6496	11.1532	16.3063
FBgn0029535	0	0	0	0	0	0
FBgn0026874	0.0854058	0.0812402	0.231073	0	0.143409	0.186522
FBgn0025616	0	0	0	0	0	0
FBgn0015799	12.0236	10.7233	10.4312	11.0209	14.677	10.3531
FBgn0025620	20.1647	14.6345	15.6456	9.3567	10.0742	8.6447
FBgn0015288	1451.43	882.48	1157.73	1413.17	1484.9	914.135
FBgn0029532	0.0384044	0.0366556	0	0.0974854	0.128944	0.0838365
FBgn0029531	0	0	0	0	0	0
FBgn0025639	10.0985	10.2258	8.71296	8.09464	9.24176	9.7838
FBgn0002579	2589.66	1916.14	1796.82	1952.86	1712.44	1722.58
FBgn0026879	207.313	267.038	171.13	154.537	118.398	190.749
FBgn0029529	12.1235	6.68533	5.43292	7.13923	8.65424	11.1281
FBgn0025633	15.1877	9.70823	9.77009	8.52123	13.0541	11.4949
FBgn0040892	0	0	0	0	0	0
FBgn0040341	0	0	0	0	0	0
FBgn0029539	0	0	0	0	0	0
FBgn0040339	23.5022	17.5121	16.0482	19.0105	23.2396	16.8241
FBgn0052815	7.30845	8.38338	7.41714	6.66647	6.73757	7.42601
FBgn0040340	21.0894	23.0166	23.7704	24.919	19.6906	27.8088
FBgn0040347	1.01813	1.17235	0.973439	1.13401	1.79956	1.37508
FBgn0042146	0	0	0	0	0	0
FBgn0029552	0	0	0	0	0	0
FBgn0040337	7.09002	5.88063	5.61444	4.86728	6.87214	4.57925
FBgn0040398	172.723	238.066	191.099	215.722	171.099	231.897
