geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzeronFBtr0074083	CG8191-RA	0.019809	NOTEST	0.0023	NOTEST	1.185107	-2.629007	1.568039	1.590921	27.606983	24.391406	23.670804	21.218645	1.532080	2.252515	1	1	1	1
FBtr0085501	CG31036-RA	0.039615	0.104255	0.01	0.071	1.113485	-0.270588	1.507051	0.074720	19.479832	24.805634	20.160450	20.610894	2.856985	2.929770	1	1	1	1
FBtr0085460	Kul-RA	0.045864	0.146368	0.0133	0.135	0.754286	-0.822112	1.755554	0.401096	23.751455	7.339222	21.510561	18.617838	17.836050	16.117950	1	1	1	1
FBtr0075875	CG11267-RA	0.025698	NOTEST	0.0039	NOTEST	0.683213	-3.593601	0.975899	-1.251918	17.435818	5.415301	23.011851	17.561962	94.381150	109.567000	1	1	1	1
FBtr0085508	eIF2Balpha-RA	0.02539	NOTEST	0.0038	NOTEST	1.252153	-1.407146	2.476628	-1.283941	34.473415	8.844600	22.140293	16.734212	13.137500	18.253350	1	0	1	1
FBtr0075975	CG10657-RA	0.045609	NOTEST	0.013	NOTEST	0.407083	-1.076657	1.294415	1.578951	2.099235	7.155482	22.344815	21.531060	7.926610	9.391670	1	1	1	1
FBtr0070568	CG10802-RA	0.039136	0.106796	0.0097	0.0744	1.003974	-0.383069	2.147160	1.050072	13.575773	103.341948	20.953976	16.581611	7.607060	15.708200	1	1	1	1
FBtr0088052	PI31-RC	0.037798	NOTEST	0.0089	NOTEST	0.758573	-1.190410	1.653364	0.224139	2.460988	67.667732	20.656137	10.948626	1.947000	2.570625	1	1	0	0
FBtr0300028	CG34242-RB	0.006281	0.079226	0.0002	0.0407	2.100172	0.118593	5.113171	1.433206	15.192429	12.166954	21.545896	20.304513	82.656700	84.304150	1	1	1	1
FBtr0343583	l(1)G0196-RP	0.0	0.09523	0.0	0.0592	1.692279	-0.256779	5.425614	1.977289	11.529188	8.022159	20.315422	18.917758	4.254365	3.548210	1	1	1	1
FBtr0336666	Trap1-RB	0.04087	0.088764	0.0108	0.0518	0.644515	-0.242985	1.094760	-0.065589	14.058034	26.610817	20.886767	19.136853	9.758055	12.087150	1	1	1	1
