geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzeronFBtr0343535	CG6903-RB	NOTEST	0.049534	NOTEST	0.0158	-2.255968	0.260773	-0.385226	1.140949	40.543529	49.127611	7.528011	4.716821	11.991350	13.535450	0	1	1	1
FBtr0076493	eIF4E1-RF	0.137591	0.031288	0.1181	0.0055	-0.658639	0.988387	0.326107	2.753297	48.401726	83.704259	2.407537	4.308147	21.699650	24.794100	1	1	1	1
FBtr0343537	Usp30-RB	NOTEST	0.049053	NOTEST	0.0155	-3.926392	0.227297	-1.556416	0.406357	15.207507	83.798725	5.774088	4.303706	12.831600	14.548600	0	1	1	1
FBtr0078730	CG2182-RA	0.102715	0.015004	0.0677	0.0013	-0.283820	1.641767	0.055538	2.277402	3.031846	57.477758	0.671434	2.427728	15.125900	21.234350	0	1	1	1
FBtr0306939	CG43340-RK	NOTEST	0.046596	NOTEST	0.0136	-2.042003	0.845940	-1.415266	3.352083	17.362302	3.500570	5.795920	3.927361	5.800125	6.536520	1	1	1	1
FBtr0330668	Rab5-RG	NOTEST	0.007274	NOTEST	0.0003	-5.455826	2.382750	-3.603157	3.324835	22.989840	5.571420	17.166775	4.952654	4.420560	7.421245	1	1	1	1
FBtr0301698	UGP-RD	0.148228	0.038333	0.1365	0.0086	-0.764555	1.054308	2.497551	2.292570	38.537788	48.424330	2.704627	5.007427	89.164050	90.761250	1	1	1	1
FBtr0335465	CG13085-RB	NOTEST	0.042754	NOTEST	0.0109	-3.771870	0.988001	-1.101011	2.489219	76.005117	2.000633	8.303777	3.049455	1.560065	1.903560	1	1	1	1
FBtr0074014	CG9164-RB	0.143249	0.028027	0.1279	0.0044	-0.743120	1.552583	0.400502	4.085782	1.150580	59.774138	2.160866	5.963137	7.040645	5.641870	1	1	1	1
FBtr0300999	CG31612-RB	NOTEST	0.043683	NOTEST	0.0115	-6.061799	0.601798	-0.736500	2.095611	8.950307	44.149036	1.220525	3.031085	1.388685	1.892205	1	1	1	1
FBtr0089082	Eph-RA	0.14729	0.017474	0.1344	0.0017	-0.960892	1.619474	2.177386	3.270307	6.423493	69.276857	6.205524	5.899547	57.010650	48.375800	1	1	1	1
FBtr0088909	Corin-RB	NOTEST	0.046227	NOTEST	0.0134	-1.441449	0.400098	-0.882731	1.015524	11.131338	72.098468	8.170638	2.953855	2.883340	3.450475	1	1	1	1
FBtr0080168	abo-RA	NOTEST	0.005754	NOTEST	0.0002	-0.370807	1.612271	-0.116191	1.899981	6.991939	49.062593	2.879775	5.059458	8.272465	11.479100	0	1	1	1
FBtr0339710	dsx-RF	0.160657	0.032888	0.1579	0.006	-0.960976	1.062804	0.702214	2.392856	5.301335	51.679722	5.407131	3.650962	2.962705	2.843180	1	1	1	1
FBtr0078422	Alg11-RA	0.124698	0.030065	0.0975	0.0051	-0.496569	0.703982	-0.264058	0.720707	1.201285	45.421614	2.325149	3.725249	38.935750	44.223600	1	1	1	1
FBtr0078423	ORMDL-RA	NOTEST	0.04386	NOTEST	0.0117	-1.102647	0.643178	-0.183935	2.304004	4.997413	3.825535	4.720825	3.787375	12.531250	16.435300	1	1	1	1
FBtr0083565	14-3-3epsilon-RA	0.150578	0.029738	0.1403	0.005	-0.880571	1.203773	0.130601	1.784405	1.008794	3.679249	2.456116	3.746169	22.631650	44.925950	1	1	1	1
FBtr0306006	Lst-RC	0.164535	0.033524	0.1635	0.0063	-0.973603	0.861359	1.250169	2.479085	12.980485	84.589837	15.962305	4.280135	9.796015	14.331350	1	1	1	1
FBtr0088632	CG13741-RA	NOTEST	0.042756	NOTEST	0.011	-1.489045	0.666186	-0.220435	1.332060	41.848747	69.939926	22.942568	3.141047	1.275495	4.028155	1	1	1	1
FBtr0332882	AspRS-RB	NOTEST	0.044229	NOTEST	0.0121	-2.090693	0.584022	0.280452	1.328541	0.986572	1.252614	21.626116	2.671378	0.092170	1.655035	0	1	0	1
FBtr0303898	nAChRalpha6-RG	0.095022	0.032888	0.0581	0.006	-0.209393	1.138740	0.570600	1.738641	2.615711	4.705353	3.727888	4.853408	21.609150	15.171150	1	1	1	1
FBtr0300058	CG32441-RD	NOTEST	0.036386	NOTEST	0.0078	-1.438178	1.130620	0.266645	3.144783	65.421432	15.222065	6.646882	5.199941	5.942160	9.792275	1	1	1	1
FBtr0077652	GABPI-RA	NOTEST	0.028027	NOTEST	0.0044	-7.713143	0.584392	-1.180963	1.622012	91.966127	41.062929	0.869271	3.174038	3.017445	5.151965	1	1	1	1
FBtr0113196	CG1208-RB	0.095112	0.026577	0.0582	0.004	-0.137159	1.555286	1.759249	2.139410	59.886420	43.844577	4.406453	4.869244	6.975950	7.102420	1	1	1	1
FBtr0346864	caps-RE	NOTEST	0.010249	NOTEST	0.0006	-1.980594	2.941665	-0.731972	4.023058	44.367223	6.383810	2.691014	3.815206	3.756130	4.174995	1	1	1	1
FBtr0070706	ctp-RA	NOTEST	0.049426	NOTEST	0.0157	-1.037902	0.550202	-0.743642	1.340914	10.647873	75.713350	2.171016	2.718140	82.840600	113.340500	1	1	1	1
FBtr0332863	Cyp312a1-RB	NOTEST	0.0	NOTEST	0.0	1.327754	2.944176	4.573513	4.647355	1.046408	66.355094	1.768311	2.477155	0.352998	1.125515	0	1	1	1
